,Location,Venue Latitude,Venue Longitude,geometry
264,Brownsville,26.185278,-97.720963,"26.185278, -97.720963"
265,Brownsville,26.177585369790872,-98.18635940551756,"26.177585369790872, -98.18635940551756"
266,Brownsville,25.922189233668032,-97.48612798441069,"25.922189233668032, -97.48612798441069"
267,Brownsville,26.192173,-98.135064,"26.192173, -98.135064"
268,Brownwood,32.47430971532557,-99.72949069249974,"32.47430971532557, -99.72949069249974"
269,Brownwood,32.396858061746585,-99.76444396654499,"32.396858061746585, -99.76444396654499"
270,Brownwood,32.39691365807138,-99.7643969473963,"32.39691365807138, -99.7643969473963"
271,Carrollton,33.04187575447191,-97.0285789904521,"33.04187575447191, -97.0285789904521"
272,Carrollton,33.06741034239143,-96.88790717226289,"33.06741034239143, -96.88790717226289"
273,Carrollton,32.92842387019028,-96.80318270706887,"32.92842387019028, -96.80318270706887"
274,Cleveland,30.324219,-95.399864,"30.324219, -95.399864"
275,Cleveland,30.336999,-95.1003,"30.336999, -95.1003"
276,Conroe,30.349502369320025,-95.48139108449465,"30.349502369320025, -95.48139108449465"
277,Conroe,30.312875918204277,-95.46762130995373,"30.312875918204277, -95.46762130995373"
278,Conroe,30.210284585751378,-95.45777203392953,"30.210284585751378, -95.45777203392953"
279,Conroe,30.35347436430963,-95.5838439237251,"30.35347436430963, -95.5838439237251"
280,Conroe,30.421244,-95.493236,"30.421244, -95.493236"
281,Conroe,30.166426157381096,-95.50674685936384,"30.166426157381096, -95.50674685936384"
282,Corinth,34.18984,-97.14333,"34.18984, -97.14333"
283,Corinth,33.131213,-97.039417,"33.131213, -97.039417"
284,Crosby,29.807214000000002,-95.171287,"29.807214000000002, -95.171287"
285,Crosby,29.89735,-95.0634,"29.89735, -95.0634"
286,"Crossroads,",33.17276,-94.97082,"33.17276, -94.97082"
287,"Crossroads,",32.54871237150258,-94.35133695602417,"32.54871237150258, -94.35133695602417"
288,"Crossroads,",33.68519845677628,-95.5552067559403,"33.68519845677628, -95.5552067559403"
289,"Crossroads,",32.18294400686726,-94.33928170147409,"32.18294400686726, -94.33928170147409"
290,"Crossroads,",32.45343388581739,-93.86519160410289,"32.45343388581739, -93.86519160410289"
291,"Crossroads,",32.546627,-93.77643499999999,"32.546627, -93.77643499999999"
292,"Crossroads,",32.44252700533846,-93.74631794337569,"32.44252700533846, -93.74631794337569"
293,"Crossroads,",32.601833,-93.843801,"32.601833, -93.843801"
294,"Crossroads,",32.47511752441822,-93.79694957865578,"32.47511752441822, -93.79694957865578"
295,"Crossroads,",32.45340217025065,-93.86524443269727,"32.45340217025065, -93.86524443269727"
296,"Crossroads,",32.40731231528668,-93.80002033704166,"32.40731231528668, -93.80002033704166"
297,Cypress,29.94626539916282,-95.5845054766737,"29.94626539916282, -95.5845054766737"
298,Cypress,29.908002,-95.630908,"29.908002, -95.630908"
